City_ID,City Name,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
262,Chebba,35.2372,11.115,57.7,5.79,1703721681,77,7,clear sky
263,Saint-Pierre,-21.3393,55.4781,71.56,3.74,1703721682,56,6,clear sky
274,Serhetabat,35.2799,62.3438,50.04,4.92,1703721688,41,0,clear sky
276,San Patricio,28.017,-97.5169,69.69,6.4,1703721451,39,17,few clouds
277,Theunissen,-28.411,26.7011,57.47,8.46,1703721690,80,4,clear sky
278,Smara,26.7384,-11.6719,61.07,7.02,1703721691,18,2,clear sky
279,Channelview,29.7761,-95.1146,61.0,9.28,1703721692,47,15,few clouds
280,Moussoro,13.6408,16.4901,64.44,11.74,1703721692,22,29,scattered clouds
283,Luena,-11.7833,19.9167,63.01,5.68,1703721694,97,97,overcast clouds
288,Masumbwe,-3.6333,32.1833,63.46,2.55,1703721697,99,100,overcast clouds
297,La Huerta,19.4667,-104.65,71.46,4.41,1703721701,68,0,clear sky
301,Kapenguria,1.2511,35.0895,59.02,3.29,1703721703,67,100,overcast clouds
302,Ha Tinh,18.3333,105.9,64.54,5.26,1703721703,89,100,overcast clouds
306,Kas,36.2018,29.6377,59.5,5.93,1703721705,49,0,clear sky
310,Garhi Khairo,28.0606,67.9803,59.04,2.33,1703721707,39,0,clear sky
312,Cidreira,-30.1811,-50.2056,70.0,14.29,1703721471,74,0,clear sky
317,Penhalonga,-18.8911,32.6978,61.84,3.33,1703721712,99,100,moderate rain
318,Yen Vinh,18.6667,105.6667,63.7,4.07,1703721713,86,98,overcast clouds
319,Abong Mbang,3.9833,13.1833,69.04,1.68,1703721713,44,100,overcast clouds
324,Saldanha,-33.0117,17.9442,68.05,3.18,1703721715,83,100,overcast clouds
328,Dunedin,-45.8742,170.5036,58.59,15.03,1703721614,85,79,broken clouds
332,Nageswari,25.9688,89.693,64.09,6.44,1703721718,70,6,clear sky
334,Chupaca,-12.0667,-75.2833,55.85,4.76,1703721719,75,100,overcast clouds
336,Contamana,-7.3333,-75.0167,70.72,2.13,1703721720,100,100,overcast clouds
337,Bassar,9.25,0.7833,69.94,3.53,1703721720,18,6,clear sky
340,Mossel Bay,-34.1831,22.146,58.93,20.11,1703721452,83,100,overcast clouds
347,Fort Bragg,35.139,-79.006,63.19,5.75,1703721496,91,75,broken clouds
363,Athens,37.9795,23.7162,56.37,4.81,1703721436,72,0,clear sky
365,Kainantu,-6.2887,145.8655,71.01,0.72,1703721733,73,100,overcast clouds
374,Hasaki,35.7333,140.8333,50.29,11.86,1703721737,72,100,overcast clouds
376,Mecayapan,18.2167,-94.8333,70.75,7.09,1703721738,89,93,overcast clouds
380,Lagunas,-5.2269,-75.6753,71.42,2.19,1703721740,99,100,overcast clouds
384,Walvis Bay,-22.9575,14.5053,65.35,1.14,1703721460,77,6,clear sky
389,Finisterra,42.9049,-9.2629,56.75,3.98,1703721745,95,100,light rain
391,Lagoa,39.05,-27.9833,59.2,8.86,1703721746,65,49,scattered clouds
396,Es Castell,39.8795,4.2854,54.28,4.61,1703721749,71,20,few clouds
399,Huntersville,35.4107,-80.8429,57.31,1.01,1703721601,95,100,overcast clouds
405,Naugachhia,25.4,87.1,61.02,3.71,1703721753,75,0,clear sky
406,Pisco,-13.7,-76.2167,70.56,3.31,1703721458,85,99,overcast clouds
408,Northam,51.0333,-4.2167,52.39,37.4,1703721754,81,22,few clouds
409,Swakopmund,-22.6833,14.5333,65.25,5.01,1703721755,83,29,scattered clouds
414,Ghanzi,-21.5667,21.7833,69.48,15.73,1703721757,74,59,broken clouds
416,Sittwe,20.15,92.9,68.16,5.82,1703721758,82,0,clear sky
417,Plettenberg Bay,-34.0527,23.3716,64.44,11.41,1703721758,81,100,overcast clouds
418,Kasane,-17.8167,25.15,67.59,7.14,1703721759,94,100,light rain
419,Oyem,1.5995,11.5793,70.43,2.3,1703721759,90,74,broken clouds
420,Brandon,27.9378,-82.2859,65.28,4.61,1703721584,76,100,overcast clouds
421,Sīwah,29.2041,25.5195,58.75,9.13,1703721760,55,21,few clouds
422,Goundam,16.4145,-3.6708,69.3,8.1,1703721760,12,0,clear sky
424,Sangmélima,2.9333,11.9833,69.84,3.2,1703721761,64,100,overcast clouds
431,Iquitos,-3.7481,-73.2472,71.1,2.53,1703721716,99,77,broken clouds
433,Trevelin,-43.0858,-71.4639,71.08,7.99,1703721764,57,53,broken clouds
436,Luanco,43.6152,-5.7934,54.01,0.98,1703721766,95,100,overcast clouds
437,Ghadames,30.1337,9.5007,60.01,7.96,1703721766,31,81,broken clouds
440,Whangarei,-35.7317,174.3239,71.6,9.04,1703721504,79,91,overcast clouds
441,Pirané,-25.7324,-59.1088,70.95,5.75,1703721768,72,52,broken clouds
442,Lewistown,40.5992,-77.5714,50.63,0.0,1703721768,100,100,light rain
446,Pasto,1.2136,-77.2811,55.56,1.36,1703721490,99,95,moderate rain
451,Giyani,-23.3025,30.7187,62.96,11.12,1703721772,87,100,overcast clouds
452,Talcahuano,-36.7167,-73.1167,57.9,1.9,1703721772,95,100,overcast clouds
454,Johnstown,40.3267,-78.922,50.77,3.44,1703721773,100,100,fog
456,Mugia,43.1041,-9.2179,56.91,1.86,1703721774,94,100,overcast clouds
458,Bardai,11.65,7.2333,57.9,9.33,1703721775,25,8,clear sky
459,Ban Huai Thalaeng,14.9833,102.65,62.98,6.78,1703721775,87,4,clear sky
463,Dīdwāna,27.4,74.5667,54.12,6.44,1703721777,44,1,clear sky
464,Salinas,36.6777,-121.6555,65.01,20.71,1703721766,74,75,broken clouds
466,Morena,26.4969,78.0,51.71,2.37,1703721778,57,27,scattered clouds
471,Ruhengeri,-1.4998,29.635,58.51,1.61,1703721780,94,100,overcast clouds
474,Rio Grande,-32.035,-52.0986,69.91,13.58,1703721782,76,47,scattered clouds
477,Chui,-33.6971,-53.4616,65.84,8.7,1703721783,75,30,scattered clouds
479,Bahawalnagar,30.5508,73.3908,55.15,2.77,1703721785,43,0,clear sky
485,Patterson,37.4716,-121.1297,58.98,6.91,1703721787,86,100,overcast clouds
490,Chipinge,-20.1883,32.6236,60.78,3.0,1703721789,99,100,heavy intensity rain
492,Sirte,31.2089,16.5887,59.61,2.53,1703721790,67,0,clear sky
494,Vacaria,-28.5122,-50.9339,56.39,7.09,1703721541,83,0,clear sky
496,Tsiroanomandidy,-18.7667,46.0333,70.72,0.94,1703721792,88,92,overcast clouds
498,Ocean City,39.2776,-74.5746,54.01,13.0,1703721793,94,100,overcast clouds
500,Tchin Tabaradèn,15.8969,5.7985,60.69,10.96,1703721794,24,16,few clouds
503,Puerto Deseado,-47.7503,-65.8938,55.99,16.49,1703721795,52,68,broken clouds
505,Nouadhibou,20.931,-17.0347,71.58,11.5,1703721796,30,8,clear sky
509,Hastings,50.8552,0.5729,53.98,33.29,1703721780,36,100,overcast clouds
512,Itoman,26.1247,127.6694,69.82,10.36,1703721799,64,75,broken clouds
514,Pāsighāt,28.0667,95.3333,57.52,3.47,1703721800,58,0,clear sky
521,Cologne,50.9333,6.95,50.97,12.48,1703721803,66,100,light rain
524,Richards Bay,-28.783,32.0377,63.36,2.26,1703721805,85,16,few clouds
529,Faya-Largeau,17.9257,19.1043,63.54,20.94,1703721807,32,3,clear sky
