City_ID,City Name,Country,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description,Max Temp (f)
0,Mwinilunga,ZM,-11.7358,24.4293,17.11,2.84,1703717228,99,97,light rain,62.798
9,Blackmans Bay,AU,-43.0167,147.3167,19.07,2.45,1703717230,78,62,broken clouds,66.326
13,Taoudenni,ML,22.6783,-3.9836,21.48,5.4,1703717231,10,0,clear sky,70.664
14,Mount Gambier,AU,-37.8333,140.7667,17.61,3.22,1703717232,65,95,overcast clouds,63.698
17,Jiazi,CN,22.8779,116.067,17.54,4.91,1703717232,82,100,overcast clouds,63.572
20,Sonoita,MX,31.85,-112.8333,19.18,2.1,1703717233,17,46,scattered clouds,66.524
27,Lincoln City,US,44.9582,-124.0179,13.83,4.92,1703716949,88,97,overcast clouds,56.894000000000005
30,Waitangi,NZ,-43.9535,-176.5597,12.75,4.76,1703717235,62,74,broken clouds,54.95
34,Māngrol,IN,21.1167,70.1167,20.96,4.59,1703717236,42,68,broken clouds,69.72800000000001
36,Marsá Maţrūḩ,EG,31.3525,27.2453,17.11,3.09,1703717236,77,0,clear sky,62.798
38,Papatowai,NZ,-46.5619,169.4708,17.96,3.94,1703717237,66,30,scattered clouds,64.328
39,Port Lincoln,AU,-34.7333,135.8667,19.08,6.89,1703717237,77,71,broken clouds,66.344
43,Edinburgh of the Seven Seas,SH,-37.0676,-12.3116,18.75,14.44,1703717238,93,100,overcast clouds,65.75
45,Tamanghasset,DZ,22.785,5.5228,10.95,1.54,1703717238,17,0,clear sky,51.71
49,Chikitigarh,IN,19.2,84.6167,17.66,1.26,1703717239,88,21,few clouds,63.788
50,Gouré,NE,13.9835,10.2704,15.53,4.03,1703717239,27,1,clear sky,59.954
51,Katsuura,JP,35.1333,140.3,10.05,5.68,1703717240,82,100,overcast clouds,50.09
52,Praia da Vitória,PT,38.7333,-27.0667,12.64,2.36,1703717053,87,20,few clouds,54.752
54,Chongwe,ZM,-15.3292,28.682,19.84,3.05,1703717240,94,100,light rain,67.712
55,Dwārka,IN,22.2394,68.9678,22.02,4.79,1703717240,51,97,overcast clouds,71.636
58,Bredasdorp,ZA,-34.5322,20.0403,18.69,7.75,1703717241,83,100,overcast clouds,65.642
70,Hermanus,ZA,-34.4187,19.2345,19.33,6.96,1703717243,79,100,overcast clouds,66.794
73,Quellón,CL,-43.1167,-73.6167,14.93,5.13,1703717244,83,47,scattered clouds,58.873999999999995
74,Lebu,CL,-37.6167,-73.65,15.54,1.97,1703717244,82,18,few clouds,59.971999999999994
89,Ramnagar,IN,29.4,79.1167,11.85,1.61,1703717248,63,0,clear sky,53.33
90,Asilah,MA,35.465,-6.0348,10.98,2.64,1703717248,83,14,few clouds,51.764
91,Chamber,PK,25.2931,68.812,17.54,4.11,1703717248,32,39,scattered clouds,63.572
92,Ribeira Grande,PT,38.5167,-28.7,13.21,1.34,1703717248,82,55,broken clouds,55.778000000000006
93,Galveston,US,29.3669,-94.9669,18.35,1.79,1703717249,32,29,scattered clouds,65.03
97,Cologne,DE,50.9333,6.95,11.7,5.74,1703717249,64,100,overcast clouds,53.06
100,Sungai Penuh,ID,-2.0833,101.3833,18.81,1.72,1703717250,97,98,overcast clouds,65.858
110,Māgadi,IN,12.9667,77.2333,15.47,3.63,1703717252,85,22,few clouds,59.846000000000004
111,Jamestown,US,42.097,-79.2353,10.77,0.89,1703717252,100,100,overcast clouds,51.385999999999996
112,Minas de Marcona,PE,-15.2119,-75.1103,17.84,2.51,1703717252,85,92,overcast clouds,64.112
